Pos,Team,Rd2,Swt16,Elite8,Final4,Final,Champ
1S,Virginia,97.7,85.2,67,48.7,31.3,20.5
1W,Gonzaga,99.1,84.5,67.1,44.3,25.3,15.4
1E,Duke,98.9,85,63,39.8,26.1,13.9
2E,Michigan St.,97,75.3,58.3,33.1,21,10.9
1MW,North Carolina,98.6,81,57.8,36.9,18.6,8.7
2W,Michigan,93.6,68.6,43.2,22.3,11.1,5.8
2MW,Kentucky,93.3,65.6,42.6,23.1,10.8,4.6
2S,Tennessee,91.6,67.5,40.2,17.2,7.9,3.6
3W,Texas Tech,89,63.1,32.8,14.9,6.6,3
3S,Purdue,88,59,33,13.6,5.9,2.6
4E,Virginia Tech,85,54.3,20.3,9.2,4.3,1.6
5MW,Auburn,71.9,44.6,18.5,9,3.3,1.1
5S,Wisconsin,68.2,43.3,14.1,6.8,2.6,1.1
3MW,Houston,85.2,48.4,21.9,9.1,3.2,1
4W,Florida St.,79.7,51.6,16.7,7.2,2.5,0.9
6MW,Iowa St.,65.6,35.3,15.7,6.3,2.1,0.7
3E,LSU,79.1,46.4,15.1,4.9,1.9,0.5
4MW,Kansas,77,38.7,13.4,5.8,1.7,0.5
7MW,Wofford,68.6,26.2,13,5,1.5,0.4
4S,Kansas St.,72.7,35.1,9.5,4.1,1.3,0.4
7E,Louisville,65.2,18.5,10.1,3.4,1.3,0.4
5E,Mississippi St.,71.3,33.9,9.8,3.5,1.3,0.4
6E,Maryland,69.6,37.2,11.7,3.6,1.3,0.3
6W,Buffalo,75.7,29.3,10.9,3.4,1,0.3
6S,Villanova,52.3,20.4,8.2,2.4,0.7,0.2
5W,Marquette,62.6,28.8,6.9,2.3,0.7,0.2
7W,Nevada,51.6,15.2,5.8,1.6,0.4,0.1
11S,Saint Mary's,47.7,17.7,6.6,1.8,0.5,0.1
10W,Florida,48.4,14.9,5.8,1.6,0.5,0.1
7S,Cincinnati,52.6,16.9,6.5,1.7,0.4,0.1
8MW,Utah St.,57.9,12,4.9,1.7,0.4,0.09
11MW,Ohio St.,34.4,13.4,4,1.1,0.2,0.07
10S,Iowa,47.4,13.6,4.8,1.1,0.3,0.06
8W,Syracuse,52.3,8.3,3.6,1,0.2,0.05
12S,Oregon,31.8,14.4,2.8,0.9,0.2,0.04
8E,VCU,52.4,7.9,2.9,0.8,0.2,0.04
9W,Baylor,47.7,7.1,2.9,0.8,0.2,0.04
8S,Mississippi,48.8,7,2.7,0.7,0.1,0.04
9S,Oklahoma,51.2,7.4,2.9,0.9,0.2,0.03
9E,UCF,47.6,7,2.4,0.6,0.2,0.03
10E,Minnesota,34.8,5.9,2.3,0.5,0.1,0.02
9MW,Washington,42.1,6.8,2.3,0.6,0.1,0.02
12MW,New Mexico St.,28.1,11.1,2.3,0.6,0.1,0.02
10MW,Seton Hall,31.4,7,2.2,0.5,0.08,0.01
12W,Murray St.,37.4,12.9,2,0.4,0.08,0.01
12E,Liberty,28.7,8.1,1.2,0.2,0.05,0.009
11E,Belmont,19.8,7.3,1.3,0.2,0.04,0.006
13MW,Northeastern,23,5.6,0.8,0.2,0.02,0.004
14E,Yale,20.9,6.1,0.7,0.09,0.02,0.003
13W,Vermont,20.3,6.6,0.7,0.1,0.02,0.002
11W,Arizona St.,15,3.3,0.7,0.1,0.02,0.001
13S,UC Irvine,27.3,7.2,0.9,0.2,0.02,0.001
11E,Temple,10.5,3.1,0.4,0.05,0.01,0.001
11W,St. John's,9.3,1.6,0.2,0.04,0.004,0.001
13E,Saint Louis,15,3.7,0.3,0.03,0.005,<.001
15S,Colgate,8.4,2,0.3,0.04,0.003,<.001
14S,Old Dominion,12,2.9,0.4,0.04,0.002,<.001
14MW,Georgia St.,14.8,2.9,0.4,0.03,0.002,<.001
15MW,Abilene Christian,6.7,1.2,0.2,0.02,0.002,<.001
15W,Montana,6.4,1.2,0.1,0.01,0.002,<.001
14W,Northern Kentucky,11,2.6,0.4,0.04,0.001,<.001
16S,Gardner Webb,2.3,0.4,0.05,0.004,<.001,<.001
15E,Bradley,3,0.4,0.06,0.003,<.001,<.001
16E,North Dakota St.,1,0.1,0.01,0.002,<.001,<.001
16MW,Iona,1.4,0.2,0.01,<.001,<.001,<.001
16W,Fairleigh Dickinson,0.9,0.1,0.008,<.001,<.001,<.001
16E,North Carolina Central,0.09,0.005,<.001,<.001,<.001,<.001
